1313 L* Age (ka),1313 L* Depth (amcd),1313 L*,1313 L* Norm Detrend,LRO4 Age (ka),LRO4 Depth (amcd),LRO4 d18O,LRO4 d18O Norm Detrend,Alkane Age (kyr),Alkane Depth (amcd),Alkanes (ng/g),Alkanol Age (kyr),  Alkanol Depth (amcd),Alkanol (ng/g),  SST Depth (amcd),SST Age (kyr),SST (°C),Color Age (ka),Red Norm,Green Norm,Blue Norm,Grey Norm
0,0.00,57.00,-1.3683,0,,3.228,3.1184,0,0.17,80.71,6.91,0.25,11,0.17,0,18.17,0,-0.888886624,-1.393378403,-1.529917759,-1.261629357
0.726,0.05,55.03,-1.7177,1,,3.228,3.1174,6.91,0.25,50.18,15.55,0.79,57,0.25,6.91,19,1,-0.524648974,-1.095312382,-1.330602634,-0.954727189
1.452,0.10,58.65,-1.0772,2,,3.179,3.2611,8.51,0.35,46,17.47,0.91,129,0.35,8.51,18.6,2,-0.312894011,-0.918423283,-1.228388344,-0.773884956
2.177,0.15,55.49,-1.6374,3,,3.286,2.9445,11.39,0.53,82.42,19.71,1.05,106,0.53,11.39,16.37,3,-0.375493174,-1.005193684,-1.279251201,-0.850824869
2.903,0.20,54.59,-1.7973,4,,3.295,2.9170,12.99,0.63,53.41,21.95,1.19,163,0.67,13.63,15.37,4,-0.379937361,-0.992836502,-1.268916788,-0.844385176
3.629,0.25,55.40,-1.6544,5,,3.264,3.0075,13.63,0.67,162.31,25.47,1.41,203,0.83,16.19,13,5,-0.402180154,-1.006533429,-1.280532505,-0.860090907
4.355,0.30,55.46,-1.6444,6,,3.333,2.8030,14.27,0.71,90.02,26.75,1.49,146,0.91,17.47,12.28,6,-0.385050136,-0.992674197,-1.295393586,-0.84856454
5.081,0.35,55.59,-1.6219,7,,3.367,2.7018,15.55,0.79,159.59,29.95,1.69,292,1.05,19.71,11.21,7,-0.320939876,-0.910702084,-1.247909595,-0.774298955
5.806,0.40,56.27,-1.5021,8,,3.42,2.5445,16.19,0.83,158.03,34.43,1.97,260,1.19,21.95,13.6,8,-0.504085709,-1.041021392,-1.344960775,-0.918140492
6.532,0.45,57.41,-1.3007,9,,3.385,2.6468,16.83,0.87,105.75,40.19,2.33,103,1.41,25.47,12.3,9,-0.941572404,-1.318180905,-1.521709277,-1.23262883
7.258,0.50,54.67,-1.7865,10,,3.523,2.2387,17.47,0.91,249.96,45.63,2.67,34,1.49,26.75,12.3,10,-0.71061374,-1.095242716,-1.328927649,-1.008937103
7.984,0.55,58.71,-1.0716,11,,3.597,2.0194,18.75,0.99,205.33,47.87,2.81,59,1.59,28.35,11.81,11,-0.569123744,-0.902877733,-1.12696805,-0.831966386
8.71,0.60,51.56,-2.3384,12,,3.924,1.0536,19.71,1.05,239.01,49.47,2.91,30,1.79,31.55,12.91,12,-0.478302149,-0.597963059,-0.812246072,-0.589077801
9.435,0.65,55.27,-1.6820,13,,4.055,0.6662,20.67,1.11,260.39,55.22,3.27,99,1.83,32.19,12.84,13,-0.738454259,-0.780410816,-0.905388004,-0.784093695
10.161,0.70,56.38,-1.4859,14,,4.281,-0.0016,21.95,1.19,244.62,59.31,3.51,106,1.93,33.79,14.02,14,-1.039354544,-1.087011216,-1.238789029,-1.093503892
10.887,0.75,57.80,-1.2350,15,,4.502,-0.6546,22.91,1.25,234.07,64.09,3.79,131,2.11,36.67,13.62,15,-1.03363604,-1.112478247,-1.259210641,-1.111270531
11.613,0.80,60.02,-0.8424,16,,4.747,-1.3785,23.87,1.31,324.33,65.8,3.89,87,2.21,38.27,15.04,16,-1.028628099,-1.145776493,-1.270574041,-1.13112165
12.339,0.85,58.92,-1.0378,17,,4.881,-1.7748,24.19,1.33,310.26,70.62,4.13,74,2.25,38.91,15.6,17,-0.430645861,-0.982047402,-0.792988937,-0.798360437
13.065,0.90,54.40,-1.8389,18,,5.024,-2.1977,24.51,1.35,333.29,74.46,4.31,26,2.43,41.79,15.67,18,-0.982439199,-1.089472623,-1.245292095,-1.0804062
13.79,0.95,53.60,-1.9811,19,,4.956,-1.9979,25.47,1.41,323.83,81.41,4.61,42,2.55,43.71,15.4,19,-1.077967359,-1.172347697,-1.299674458,-1.163675087
14.516,1.00,54.52,-1.8187,20,,4.992,-2.1051,26.11,1.45,158.71,96.08,5.16,31,2.67,45.63,15.87,20,-1.142293761,-1.231365506,-1.332783941,-1.221345534
15.242,1.05,53.16,-2.0602,21,,4.9,-1.8345,26.75,1.49,448.16,108.34,5.62,39,2.71,46.27,14.81,21,-1.106907137,-1.218998595,-1.341290164,-1.207829161
15.968,1.10,55.01,-1.7331,22,,4.894,-1.8177,28.35,1.59,275.69,109.67,5.67,44,2.73,46.59,15.53,22,-1.042643088,-1.134876215,-1.243524288,-1.124575657
16.694,1.15,54.56,-1.8133,23,,4.859,-1.7154,29.95,1.69,343.16,111.27,5.73,67,2.77,47.23,15.8,23,-1.022603253,-1.114837223,-1.24195168,-1.106884307
17.419,1.20,54.28,-1.8635,24,,4.811,-1.5747,31.55,1.79,458.04,119.01,6.02,26,2.85,48.51,16.13,24,-0.882522038,-1.016218325,-1.067638041,-0.985974751
18.191,1.25,51.53,-2.3511,25,,4.794,-1.5254,32.19,1.83,273.6,123.54,6.19,36,2.91,49.47,14.99,25,-1.112769562,-1.210811223,-1.246588623,-1.19079927
19.148,1.30,51.26,-2.3997,26,,4.692,-1.2254,32.83,1.87,451.25,126.21,6.29,41,3.01,51.06,16.45,26,-0.946851985,-1.083609171,-1.195182125,-1.062192694
20.104,1.35,52.23,-2.2286,27,,4.749,-1.3945,33.15,1.89,167.45,135,6.62,139,3.09,52.34,16.34,27,-0.961591214,-1.080131093,-1.150776322,-1.056976604
21.061,1.40,52.27,-2.2223,28,,4.753,-1.4072,33.79,1.93,301.77,139.86,6.83,82,3.19,53.94,16,28,-0.952843769,-1.079479695,-1.119925786,-1.052031151
22.017,1.45,51.50,-2.3594,29,,4.731,-1.3432,34.43,1.97,402.3,144.13,7.03,165,3.27,55.22,16.14,29,-0.934022267,-1.07305048,-1.073791252,-1.038728987
22.974,1.50,52.01,-2.2698,30,,4.602,-0.9635,35.39,2.03,267.19,150.74,7.34,124,3.35,56.58,15.23,30,-0.775945267,-0.901464101,-0.926155644,-0.871548795
23.93,1.55,55.13,-1.7180,31,,4.641,-1.0795,36.67,2.11,262.76,155.22,7.55,79,3.39,57.26,15.56,31,-0.709947467,-0.828020747,-0.882487175,-0.801930259
24.887,1.60,55.17,-1.7117,32,,4.599,-0.9565,38.27,2.21,216.58,159.48,7.75,138,3.45,58.29,13.35,32,-0.744441504,-0.872479947,-0.940813535,-0.845664559
25.843,1.65,54.32,-1.8629,33,,4.579,-0.8984,38.59,2.23,127.2,163.54,7.94,161,3.51,59.31,12.83,33,-0.739427664,-0.85901628,-0.915804132,-0.832854956
26.8,1.70,54.10,-1.9026,34,,4.586,-0.9199,38.91,2.25,163.26,170.57,8.27,75,3.57,60.34,13.34,34,-0.675610037,-0.790312554,-0.845142269,-0.76365843
27.757,1.75,54.52,-1.8290,35,,4.539,-0.7822,40.19,2.33,195.38,181,8.7,59,3.61,61.02,11.99,35,-0.593759367,-0.696096546,-0.774461766,-0.674933739
28.713,1.80,55.30,-1.6916,36,,4.454,-0.5323,41.79,2.43,193.28,188.2,8.97,118,3.67,62.04,11.89,36,-0.58698789,-0.677186234,-0.76302269,-0.660033782
29.67,1.85,57.35,-1.3293,37,,4.456,-0.5391,43.71,2.55,84.29,193.81,9.17,107,3.79,64.09,12.72,37,-0.548182674,-0.649152201,-0.753862375,-0.633376726
30.626,1.90,57.26,-1.3460,38,,4.414,-0.4161,45.63,2.67,185.29,199.21,9.36,33,3.89,65.8,14.51,38,-0.53721458,-0.646305203,-0.745026348,-0.627570523
31.583,1.95,57.43,-1.3166,39,,4.555,-0.8331,45.95,2.69,155.57,202.2,9.46,28,3.99,67.63,15.65,39,-0.363571821,-0.441566542,-0.565255571,-0.43410342
32.539,2.00,57.73,-1.2642,40,,4.548,-0.8133,46.27,2.71,189.08,212.49,9.76,37,4.09,69.77,16.21,40,-0.333496398,-0.437488428,-0.554361912,-0.422807367
33.496,2.05,58.19,-1.1835,41,,4.514,-0.7139,46.59,2.73,125.59,224.99,10.07,118,4.13,70.62,14.75,41,-0.300312848,-0.382962771,-0.518357942,-0.375572661
34.452,2.10,58.78,-1.0797,42,,4.504,-0.6853,46.91,2.75,106.14,233.17,10.3,60,4.23,72.75,15.6,42,-0.308748811,-0.359200929,-0.470240128,-0.356216162
35.409,2.15,58.14,-1.1938,43,,4.463,-0.5653,47.23,2.77,100.4,242.4,10.58,46,4.31,74.46,16.96,43,-0.175009868,-0.213250306,-0.377378773,-0.220102809
36.365,2.20,58.83,-1.0724,44,,4.478,-0.6104,47.55,2.79,60.58,249.76,10.83,65,4.35,75.31,16.36,44,-0.197786824,-0.261464869,-0.421203432,-0.26225667
37.322,2.25,58.32,-1.1634,45,,4.329,-0.1717,47.87,2.81,106.74,253.46,10.96,69,4.41,76.59,16.22,45,-0.267761545,-0.321990714,-0.462294535,-0.322047999
38.278,2.30,57.77,-1.2616,46,,4.363,-0.2729,48.51,2.85,74.94,258.86,11.18,197,4.49,78.3,16.46,46,-0.230670683,-0.287625796,-0.450110468,-0.290390811
39.235,2.35,61.34,-0.6301,47,,4.381,-0.3270,49.47,2.91,132.8,262.51,11.39,63,4.55,79.81,17.59,47,-0.309784688,-0.361819976,-0.514407453,-0.365077258
40.191,2.40,61.31,-0.6361,48,,4.445,-0.5167,51.06,3.01,106.46,265.41,11.56,76,4.61,81.41,15.64,48,-0.087368536,-0.160020792,-0.203741824,-0.142559588
41.148,2.45,61.96,-0.5218,49,,4.462,-0.5678,52.34,3.09,106.21,271.21,11.9,110,4.7,83.81,16.83,49,0,0,0,0
42.104,2.50,61.99,-0.5172,50,,4.343,-0.2176,53.94,3.19,211.17,275.99,12.18,257,4.82,87.01,17.81,50,0,0,0,0
43.061,2.55,61.56,-0.5941,51,,4.334,-0.1920,55.22,3.27,154.2,279.4,12.38,100,4.93,89.94,15.65,51,0.30487596,0.276015492,0.104844797,0.266926899
44.017,2.60,62.09,-0.5010,52,,4.309,-0.1191,56.58,3.35,180.07,287.93,12.88,12,5.05,93.14,17.63,52,0.242545449,0.203670781,0.060320939,0.201939613
44.974,2.65,61.62,-0.5849,53,,4.436,-0.4948,56.92,3.37,171.89,291.35,13.08,68,5.16,96.08,19.89,53,0.220215374,0.166323935,0.036002118,0.171153631
45.93,2.70,61.25,-0.6512,54,,4.376,-0.3187,57.26,3.39,228.9,295.34,13.3,61,5.28,99.28,18.01,54,0.037477389,-0.019404686,-0.165129741,-0.017840983
46.887,2.75,61.19,-0.6626,55,,4.307,-0.1160,57.61,3.41,184.21,299.6,13.5,67,5.4,102.48,15.96,55,-0.146963591,-0.208475006,-0.36150591,-0.208272922
47.843,2.80,63.29,-0.2914,56,,4.354,-0.2556,58.29,3.45,97.09,301.74,13.6,78,5.5,105.14,17.11,56,-0.143266762,-0.229985543,-0.380772251,-0.22424488
48.8,2.85,63.72,-0.2160,57,,4.427,-0.4719,58.63,3.47,133.04,306.78,13.8,167,5.54,106.21,14.89,57,-0.127742935,-0.216057563,-0.368880864,-0.210320288
49.757,2.90,61.67,-0.5798,58,,4.489,-0.6558,58.97,3.49,262.77,314.78,14.1,29,5.6,107.81,16.04,58,-0.274353839,-0.359025692,-0.506533371,-0.353713592
50.713,2.95,65.23,0.0500,59,,4.427,-0.4737,59.31,3.51,210.47,324.42,14.46,23,5.64,108.88,16.52,59,-0.505452986,-0.608200944,-0.73533198,-0.596296932
51.67,3.00,65.34,0.0687,60,,4.599,-0.9822,59.65,3.53,215.77,328.77,14.62,35,5.69,110.21,16.34,60,-0.625261065,-0.73628162,-0.885076582,-0.723624164
52.626,3.05,66.40,0.2557,61,,4.513,-0.7293,59.99,3.55,234.48,331,14.7,66,5.75,111.81,16.51,61,-0.567150906,-0.662520833,-0.833979797,-0.656239819
53.583,3.10,66.12,0.2053,62,,4.604,-0.9988,60.34,3.57,242.58,335.46,14.86,207,5.79,112.87,15.87,62,-0.946022132,-1.034734229,-1.037908877,-1.01349615
54.539,3.15,63.82,-0.2027,63,,4.531,-0.7843,60.68,3.59,246.76,339.2,15,269,5.84,114.21,15.73,63,-0.813704179,-0.941058414,-0.95506513,-0.909645444
55.496,3.20,63.34,-0.2885,64,,4.357,-0.2718,61.02,3.61,238.01,341.43,15.1,195,5.88,115.27,16.28,64,-0.6784697,-0.821622677,-0.866823736,-0.78814879
56.452,3.25,63.65,-0.2343,65,,4.481,-0.6386,61.36,3.63,241.56,344.08,15.22,345,5.96,117.41,17.57,65,-0.762242964,-0.888857181,-0.887564258,-0.854588424
57.409,3.30,62.89,-0.3697,66,,4.567,-0.8933,61.7,3.65,249.32,347.8,15.4,143,6.06,120.07,17.48,66,-0.842174213,-0.955392479,-0.895442926,-0.918838477
58.365,3.35,60.89,-0.7246,67,,4.439,-0.5165,62.04,3.67,206.73,350.77,15.56,115,6.19,123.54,18.77,67,-0.550525782,-0.691565964,-0.719336243,-0.657253122
59.322,3.40,57.71,-1.2885,68,,4.419,-0.4584,62.72,3.71,189.86,354.86,15.78,247,6.29,126.21,18.82,68,-0.186967379,-0.309913942,-0.434920529,-0.291652742
60.278,3.45,58.00,-1.2379,69,,4.468,-0.6039,64.09,3.79,146.01,361.92,16.16,11,6.39,128.87,18.2,69,0.025830289,-0.096023056,-0.276842617,-0.080458847
61.235,3.50,58.17,-1.2085,70,,4.319,-0.1651,65.8,3.89,151.87,370.1,16.6,21,6.45,130.47,15.37,70,0.048986939,-0.070964872,-0.285153971,-0.057424767
62.235,3.55,57.30,-1.3634,71,,4.225,0.1113,67.63,3.99,166.85,379.8,17.11,10,6.52,132.34,14.77,71,0.090027352,-0.025647173,-0.28036649,-0.017996143
63.41,3.60,56.44,-1.5166,72,,4.215,0.1399,69.77,4.09,140.22,390.25,17.61,35,6.62,135,14.3,72,0.196814601,0.081568196,-0.194988546,0.08638913
64.584,3.65,58.39,-1.1722,73,,4.229,0.0977,70.62,4.13,129,412.21,18.66,3,6.72,137.51,15.87,73,0.266252685,0.142299409,-0.121473152,0.152357941
65.759,3.70,57.14,-1.3945,74,,4.028,0.6898,72.75,4.23,47.77,416.6,18.87,5,6.83,139.86,15.64,74,0.236433247,0.101906985,-0.2224882,0.107598575
66.934,3.75,59.10,-1.0483,75,,3.953,0.9102,74.46,4.31,45.39,422.24,19.14,23,6.93,141.99,15.98,75,0.743054525,0.651825911,0.386857299,0.653486937
68.108,3.80,63.48,-0.2735,76,,4.064,0.5818,74.88,4.33,58.33,427.89,19.41,33,6.95,142.42,16.2,76,0.827363398,0.718872515,0.460240674,0.727273044
